timestamp,command,mode,abletonIP,unityIP
"2026-04-22T18:49:07.664Z","start_vote","both","127.0.0.1","127.0.0.1"
"2026-04-22T18:49:32.207Z","lock_and_average","both","127.0.0.1","127.0.0.1"
"2026-04-22T18:50:02.413Z","initiate_performance","both","127.0.0.1","127.0.0.1"
"2026-04-22T18:50:18.927Z","reset","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:50:20.960Z","start_vote","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:50:34.391Z","lock_and_average","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:51:12.579Z","reset","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:51:17.594Z","start_vote","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:51:30.932Z","lock_and_average","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:51:41.530Z","initiate_performance","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:52:05.998Z","reset","audio","127.0.0.1","127.0.0.1"
"2026-04-22T18:52:07.228Z","reset","audio","127.0.0.1","127.0.0.1"
