timestamp,command,mode,abletonIP,unityIP
"2026-04-30T22:10:35.566Z","start_vote","audio","192.168.13.5","192.168.13.4"
"2026-04-30T22:13:31.339Z","lock_and_average","audio","192.168.13.5","192.168.13.4"
"2026-04-30T22:13:47.401Z","initiate_performance","audio","192.168.13.5","192.168.13.4"
"2026-04-30T22:22:41.939Z","reset","audio","192.168.13.5","192.168.13.4"
"2026-04-30T22:22:47.235Z","start_vote","visual","192.168.13.5","192.168.13.4"
"2026-04-30T22:24:39.023Z","lock_and_average","visual","192.168.13.5","192.168.13.4"
"2026-04-30T22:24:47.871Z","initiate_performance","visual","192.168.13.5","192.168.13.4"
"2026-04-30T22:25:19.502Z","initiate_performance","visual","192.168.13.5","192.168.13.4"
"2026-04-30T22:25:20.069Z","lock_and_average","visual","192.168.13.5","192.168.13.4"
"2026-04-30T22:25:20.685Z","initiate_performance","visual","192.168.13.5","192.168.13.4"
"2026-04-30T22:35:14.482Z","reset","both","192.168.13.5","192.168.13.4"
"2026-04-30T22:35:16.453Z","start_vote","both","192.168.13.5","192.168.13.4"
"2026-04-30T22:36:12.951Z","start_vote","both","192.168.13.5","192.168.13.4"
"2026-04-30T22:39:14.529Z","lock_and_average","both","192.168.13.5","192.168.13.4"
"2026-04-30T22:39:15.919Z","initiate_performance","both","192.168.13.5","192.168.13.4"
"2026-04-30T22:39:30.637Z","initiate_performance","both","192.168.13.5","192.168.13.4"
