timestamp,command,mode,abletonIP,unityIP
"2026-05-01T01:08:59.968Z","start_vote","audio","192.168.13.5","192.168.13.4"
"2026-05-01T01:09:11.518Z","start_vote","visual","192.168.13.5","192.168.13.4"
"2026-05-01T01:12:52.325Z","lock_and_average","visual","192.168.13.5","192.168.13.4"
"2026-05-01T01:13:05.242Z","initiate_performance","visual","192.168.13.5","192.168.13.4"
"2026-05-01T01:13:44.632Z","initiate_performance","visual","192.168.13.5","192.168.13.4"
"2026-05-01T01:21:20.437Z","reset","audio","192.168.13.5","192.168.13.4"
"2026-05-01T01:21:22.705Z","start_vote","audio","192.168.13.5","192.168.13.4"
"2026-05-01T01:23:57.548Z","lock_and_average","audio","192.168.13.5","192.168.13.4"
"2026-05-01T01:24:04.992Z","initiate_performance","audio","192.168.13.5","192.168.13.4"
"2026-05-01T01:33:51.846Z","reset","both","192.168.13.5","192.168.13.4"
"2026-05-01T01:33:54.947Z","start_vote","both","192.168.13.5","192.168.13.4"
"2026-05-01T01:36:40.560Z","lock_and_average","both","192.168.13.5","192.168.13.4"
"2026-05-01T01:36:47.078Z","initiate_performance","both","192.168.13.5","192.168.13.4"
"2026-05-01T01:46:48.775Z","reset","both","192.168.13.5","192.168.13.4"
